KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,StAwal,StMasuk,StKeluar
'8999999000066,'8999999000066,TARO POTATO BARBEQUE 36G,MKN,MAKANAN,4250,4250,6000,41.17647,7,30,16
'8999999000189,'8999999000189,TARO SEAWEED 36G,MKN,MAKANAN,4250,4250,6000,41.17647,6,33,17
'8993175539517,'8993175539517,NABATI WAFER WHITE 46G,MKN,MAKANAN,1800,1800,3000,66.66667,9,4,2
'8994075230399,'8994075230399,MOMOGI JAGUNG,SNK,SNACK,425,425,500,17.64706,7,40,6
'8994075230436,'8994075230436,MOMOGI COKLAT,SNK,SNACK,425,425,500,17.64706,10,40,2
'8991001242983,'8991001242983,TOP BLACK IN WHITE,MKN,MAKANAN,870,870,1500,72.41379,8,48,0
'8991001242013,'8991001242013,TOP COKLAT,MKN,MAKANAN,870,870,1500,72.41379,9,48,7
'8992761111519,'8992761111519,COCA-COLA ORIGINAL KLG 250ML,BTL,MINUMAN,4750,4750,7000,47.36842,24,90,190
'8993175536912,'8993175536912,SIIP KEJU 24G,MKN,MAKANAN,1850,1850,3000,62.16216,6,16,7
'8993175538848,'8993175538848,SIIP COKLAT 24G,MKN,MAKANAN,1700,1700,3000,76.47059,6,17,8
'8853301200875,'8853301200875,PEDIGREE SMOKY BEEF 80G,DOG,DOGFOOD,19500,19500,24000,23.07692,7,4,5
'8853301530057,'8853301530057,PEDIGREE CHICKEN GRAVY 130G,DOG,DOGFOOD,9000,9000,13000,44.44444,6,4,3
'8991911101042,'8991911101042,SERGIO KRETEK 20,RK,ROKOK,19700,19700,22000,11.67513,8,0,0
'8998009011702,'8998009011702,ULTRA MILK TARO 200ML,SS,SUSU,4450,4450,6000,34.83146,6,24,10
'8998009011740,'8998009011740,ULTRA MILK KARAMEL 200ML,SS,SUSU,4550,4266.67,6000,31.86813,9,26,7
'8998866200851,'8998866200851,MIE SEDAP CUP BASO SPECIAL,MIE,MIE,4500,4500,7000,70.73171,8,6,16
'8993175537346,'8993175537346,NABATI WAFER RICHOCO 125G,MKN,MAKANAN,5000,5000,7000,40,5,5,8
'8993175548694,'8993175548694,NABATI WAFER RASBERRY,MKN,MAKANAN,1800,1800,3000,66.66667,10,11,7
'089686723014,'089686723014,CHIKI TWIST JAGUNG 40G,MKN,MAKANAN,3000,3000,5000,66.66667,5,11,2
'8995077601491,'8995077601491,KACANG DUA KELINCI 60G,KCK,KACANG,4500,4500,7000,66.66667,7,23,22
'0051,'0051,NICKMAD KOPI GULA AREN,KP,COFFEE,12000,12000,15000,25,10,6,5
'0052,'0052,NICKMAD VANILLA MILK,KP,COFFEE,12000,12000,15000,25,7,6,2
'0053,'0053,NICKMAD MOCCA COFFEE,KP,COFFEE,12000,12000,15000,25,7,6,3
'0054,'0054,BOKASI KECIL,OB,OBAT OBATAN,24500,24500,35000,0,6,0,3
'8998866610377,'8998866610377,ISOPLUS 350ML,BTL,MINUMAN,2700,2700,5000,85.18519,8,32,32
'8999999002497,'8999999002497,TARO COWBOY STEAK 36G,MKN,MAKANAN,4250,4250,6000,41.17647,6,30,17
'8999999000172,'8999999000172,TARO ITALIAN PIZZA 36G,MKN,MAKANAN,4250,4250,6000,41.17647,5,30,18
'8996196000455,'8996196000455,PIATTOS SAPI PANGGANG 35G,MKN,MAKANAN,5500,5454.55,7000,27.27273,5,23,16
'8886013281481,'8886013281481,FRENCH FRIES 24G,MKN,MAKANAN,2300,2366.67,4000,60,10,8,4
'8996001305119,'8996001305119,ROMA ARDEN CHOCO SPLENDID,MKN,MAKANAN,1800,1800,3000,66.66667,7,22,22
'8992761111588,'8992761111588,COCA-COLA ZERO 250ML,BTL,MINUMAN,4800,4800,7000,45.83333,9,432,662
'1591234537497,'1591234537497,ROTI TAWAR KULIT 285GR,RTI,ROTI,10600,10600,12000,13.20755,8,2,1
'1412345371612,'1412345371612,ROTI UCIL,RTI,ROTI,9650,9650,11000,13.98964,10,2,0
'1412345374170,'1412345374170,ROTI TAWAR KUPAS 235GR,RTI,ROTI,10600,10600,12000,13.20755,5,2,1
'2812345371114,'2812345371114,ROTI SISIR 235GR,RTI,ROTI,7000,7000,8000,14.28571,6,2,1
'8997211410037,'8997211410037,MONTEZUMA MTZ FILTERS,RK,ROKOK,22000,22000,28000,27.27273,6,10,70
'8997204340150,'8997204340150,MATTOH MANIS ASIN 75G,SNK,SNACK,13500,13500,18000,33.33333,8,9,4
'8997204340174,'8997204340174,MATTOH CHEESE 75G,SNK,SNACK,13500,13500,18000,33.33333,7,12,10
'8991115012106,'8991115012106,BIG BABOL STRAWBERRY,P,PERMEN,2325,2325,4000,72.04301,8,40,41
'8991115010102,'8991115010102,BIG BABOL TUTTI FRUTI,P,PERMEN,2325,2325,4000,72.04301,6,40,42
